nome,lat,lon,hei
100,44° 10' 34.25" N,12° 25' 43.40" E,40.977
101,44° 10' 34.12" N,12° 25' 43.56" E,41.111
102,44° 10' 34.03" N,12° 25' 43.57" E,41.096
103,44° 10' 34.07" N,12° 25' 43.63" E,41.103
104,44° 10' 34.06" N,12° 25' 43.63" E,41.118
105,44° 10' 33.96" N,12° 25' 43.47" E,41.047
106,44° 10' 33.95" N,12° 25' 43.46" E,41.035
107,44° 10' 33.79" N,12° 25' 43.68" E,41.049
108,44° 10' 33.62" N,12° 25' 43.89" E,41.015
109,44° 10' 33.47" N,12° 25' 44.08" E,41.049
110,44° 10' 33.77" N,12° 25' 44.54" E,41.023
111,44° 10' 33.75" N,12° 25' 44.51" E,40.999
112,44° 10' 33.77" N,12° 25' 44.55" E,41.010
113,44° 10' 33.77" N,12° 25' 44.53" E,41.004
114,44° 10' 33.79" N,12° 25' 44.56" E,41.058
115,44° 10' 33.90" N,12° 25' 44.44" E,41.084
116,44° 10' 33.72" N,12° 25' 44.09" E,41.117
117,44° 10' 33.73" N,12° 25' 44.07" E,41.086
118,44° 10' 33.87" N,12° 25' 44.68" E,41.032
119,44° 10' 34.31" N,12° 25' 45.35" E,41.046
120,44° 10' 34.71" N,12° 25' 45.95" E,40.999
121,44° 10' 34.73" N,12° 25' 45.61" E,41.076
122,44° 10' 34.73" N,12° 25' 45.59" E,41.091
123,44° 10' 35.13" N,12° 25' 45.15" E,41.111
124,44° 10' 35.11" N,12° 25' 45.10" E,41.142
125,44° 10' 35.08" N,12° 25' 45.14" E,41.126
126,44° 10' 35.63" N,12° 25' 44.77" E,41.004
127,44° 10' 34.38" N,12° 25' 42.90" E,40.938
128,44° 10' 34.66" N,12° 25' 42.53" E,40.838
129,44° 10' 35.91" N,12° 25' 44.42" E,40.922
130,44° 10' 35.96" N,12° 25' 44.36" E,40.956
131,44° 10' 35.09" N,12° 25' 43.06" E,41.091
132,44° 10' 35.49" N,12° 25' 42.55" E,40.965
133,44° 10' 35.10" N,12° 25' 41.97" E,40.977
134,44° 10' 34.70" N,12° 25' 42.48" E,40.823
135,44° 10' 34.56" N,12° 25' 38.90" E,41.030
136,44° 10' 34.48" N,12° 25' 38.94" E,40.991
PF19/0390/C574,44° 10' 34.54" N,12° 25' 38.99" E,41.010
137,44° 10' 34.34" N,12° 25' 43.26" E,40.903
138,44° 10' 34.34" N,12° 25' 43.26" E,40.911
139,44° 10' 34.45" N,12° 25' 43.11" E,40.978
140,44° 10' 35.46" N,12° 25' 44.62" E,40.985
141,44° 10' 35.34" N,12° 25' 44.77" E,40.902
142,44° 10' 39.99" N,12° 25' 49.34" E,41.709
143,44° 10' 39.95" N,12° 25' 49.44" E,41.720
PF17/0390/C574,44° 10' 40.03" N,12° 25' 49.45" E,41.714
144,44° 10' 32.35" N,12° 25' 57.41" E,41.514
PF14/0390/C574,44° 10' 21.83" N,12° 25' 36.34" E,40.961
1,44° 10' 33.36" N,12° 25' 59.35" E,0.000
2,44° 10' 33.83" N,12° 25' 58.33" E,0.000
3,44° 10' 32.82" N,12° 25' 57.41" E,0.000
4,44° 10' 32.35" N,12° 25' 58.39" E,0.000
5,44° 10' 33.36" N,12° 25' 59.35" E,0.000
